Item 1400032120 already exists in database, skipping.
Item 1859600835 already exists in database, skipping.
Item 212658363 already exists in database, skipping.
Item 1393021828 already exists in database, skipping.
Item 292375166 already exists in database, skipping.
Item 465132277 already exists in database, skipping.
Item 1129946254 already exists in database, skipping.
Item 1159583641 already exists in database, skipping.
Item 1186218778 already exists in database, skipping.
Item 2018811233 already exists in database, skipping.
Item 749139287 already exists in database, skipping.
Item 1517562829 already exists in database, skipping.
Item 826349877 already exists in database, skipping.
Item 2029254435 already exists in database, skipping.
Item 232013051 already exists in database, skipping.
Item 1348938834 already exists in database, skipping.
Item 2119126639 already exists in database, skipping.
Item 1429828369 already exists in database, skipping.
Item 1518040901 already exists in database, skipping.
